BLOCK_ID,TOTAL_KWH,TOTAL_THERMS,TOTAL_SQFT,TOTAL_SQFT,KWH_PER_SQFT,THERMS_PER_SQFT,KWH_PER_SQMETER,THERMS_PER_SQMETER
170310105013007,271675,47023,78625,78625,3.455325914,0.598066773,37.19283461,6.437539936
170310105013008,54201,8997,18301,18301,2.96164144,0.49161248,31.87885688,5.291674975
170310105013010,134331,28082,33411,33411,4.02056209,0.840501631,43.2769888,9.047088159
170310105021000,508369,99765,108615,74326,4.680467707,1.342262465,50.3801568,14.44799915
170310105021001,122592,30903,30031,30031,4.082181746,1.029036662,43.94025753,11.07646322
170310105021002,44567,4228,8882,8882,,,,
170310105021003,59625,21115,36338,36338,1.640844295,0.581072156,17.66190861,6.254611324
170310105021004,288486,60086,100811,91557,2.861652002,0.656268772,30.80257906,7.064021317
170310105021005,193929,38818,71074,58211,2.728550525,0.666849908,29.36988606,7.177915763
170310105021006,634307,99991,168714,113860,3.759658357,0.878192517,40.46864317,9.452789653
170310105021007,222504,25617,51018,51018,4.361284253,0.5021169,46.94449321,5.404743656
170310105021008,38025,17201,23555,13422,1.614306941,1.281552675,17.37626278,13.79452412
170310105021009,197676,33202,56666,56666,,,,
170310105021011,27156,1198,18051,18051,1.504404188,0.066367514,16.19327888,0.714374286
170310105021012,161278,48046,72623,67137,2.22075651,0.715641152,23.90403442,7.703100564
170310105022000,454119,85218,123373,123373,3.680862101,0.690734602,39.62048697,7.435008574
170310105022001,489618,135043,149746,149746,3.269656619,0.901813738,35.19430609,9.707046467
170310105022002,252278,27860,52901,52901,4.768870154,0.526644109,51.33171322,5.668752449
170310105022003,108661,28617,42179,30976,2.576187202,0.923844267,27.7298602,9.944181205
170310105022004,177845,40288,31363,33171,5.670535344,1.214554882,61.03716074,13.07336558
170310105022005,288931,86072,72230,108892,4.000152291,0.790434559,43.05729946,8.508170447
170310105022006,187381,28634,44568,44568,4.204384312,0.642478909,45.25563557,6.915588395
170310105022007,52684,8235,12286,9284,4.288132834,0.88700991,46.15709755,9.547699316
170310105022008,19831,11044,27537,10596,,,,
170310105022009,186292,39917,57054,57054,3.265187366,0.699635433,35.14619944,7.530816369
170310105022010,168201,29504,38631,40187,4.354042091,0.734167766,46.86653919,7.902519463
170310105031000,665568,68649,34575,34575,19.24997831,1.985509761,207.2051312,21.3718584
170310105031002,52332,19101,26127,26127,2.002985417,0.731082788,21.55996488,7.869313025
170310105031003,126667,26788,31010,31010,,,,
170310105031004,130232,35519,39172,41940,3.324619626,0.846900334,35.78592323,9.11596325
170310105031005,59438,19414,21298,21298,2.790778477,0.91154099,30.03970245,9.811749779
170310105031006,1439485,265553,284949,288237,5.051728555,0.921300874,54.37637703,9.916804344
170310105031008,147351,40115,43979,43979,3.350485459,0.912139885,36.06434086,9.818196236
170310105031009,162613,41158,59347,59347,2.740037407,0.693514415,29.49352989,7.464930252
170310105031010,120665,37763,43745,43745,2.758372385,0.863252943,29.69088604,9.291981348
170310105031011,190755,49902,48596,48596,3.925323072,1.02687464,42.25184409,11.05319139
170310105031012,154361,45889,49760,49760,3.102110129,0.922206592,33.3908499,9.926553412
170310105031013,158501,41572,55250,55310,2.86879638,0.751618152,30.87948053,8.090353942
170310105031014,11783,1689,2008,2008,5.868027888,0.841135458,63.16295371,9.053910618
170310105031016,109707,4356,11028,11028,9.948041349,0.394994559,107.079872,4.251687882
170310105032000,475500,5432,25687,3600,,,,
170310105032003,97386,49041,57332,57332,1.698632526,0.855386172,18.28393622,9.207304089
170310105032004,131783,40022,52334,42713,2.518114419,0.936998104,27.10476969,10.08576799
170310105032005,307682,89682,74750,91264,4.116147157,0.982665673,44.30585834,10.57732983
170310105032006,232788,28065,27285,27285,8.531720726,1.028587136,91.83471713,11.07162455
170310105032007,13919,13033,8867,8867,1.569753017,1.469831961,16.89668812,15.82114637
170310105032009,72647,13784,75774,72874,0.958732547,0.189148393,10.31971569,2.035977236
170310105032011,111266,36886,45843,45843,2.427109919,0.804615754,26.12520498,8.660815622
170310105032012,30320,6329,9345,9345,3.244515784,0.677260567,34.92369228,7.289975212
170310106001003,388159,67957,83955,62769,4.623417307,1.082652265,49.76607114,11.65357701
170310106001004,468836,65031,73109,59738,6.412835629,1.088603569,69.02721795,11.71763634
170310106001005,184637,62132,44549,47646,4.14458237,1.304033917,44.61193255,14.0365103
170310106001006,123859,46751,25415,25415,4.873460555,1.83950423,52.45751542,19.80026727
170310106001007,103627,40708,32580,23187,3.180693677,1.755638936,34.23671654,18.89754836
170310106001008,243563,65951,80860,45043,3.012156814,1.464178674,32.42260007,15.76029486
170310106001009,279087,33611,63527,49854,,,,
170310106001010,643516,44277,70749,67849,9.095761071,0.652581468,97.90599949,7.024331482
170310106001011,97052,27055,33940,33940,2.859516794,0.797142015,30.77959586,8.580368937
170310106001012,30167,12214,12684,12684,2.378350678,0.962945443,25.60036466,10.36506295
170310106001015,60307,6065,11715,11715,5.147844644,0.517712335,55.41096244,5.572611591
170310106001016,72631,19998,28443,28443,2.553563267,0.703090391,27.48633808,7.568005245
170310106001017,33032,9415,11286,11286,,,,
170310106001018,135471,17459,27950,21641,4.846905188,0.806755695,52.1716757,8.68384977
170310106001019,281934,19248,39668,27272,7.10734093,0.705778821,76.50281401,7.596943272
170310106001020,190987,40629,51756,51756,3.690142206,0.785010434,39.72037723,8.449785621
170310106001021,172799,44855,31408,31408,5.501751146,1.428139328,59.22038197,15.3723704
170310106002001,235248,34067,47502,47502,4.952380952,0.717169803,53.30700787,7.719554841
170310106002002,207094,39107,48425,54255,4.276592669,0.720799926,46.0328802,7.758629175
170310106002003,188375,22760,32375,32375,5.818532819,0.703011583,62.63019298,7.56715696
170310106002004,73924,17309,21544,21544,,,,
170310106002005,619918,119806,96218,113469,6.442848531,1.055847853,69.35027428,11.36505659
170310106002006,99004,16598,22137,22137,4.472331391,0.749785427,48.13979517,8.070626644
170310106003000,221268,73080,75839,75839,,,,
170310106003001,266023,71687,87835,23848,,,,
170310106003002,300180,58948,70819,66364,4.238693006,0.888252667,45.62493145,9.561076253
170310106003003,211421,65446,63048,64597,3.353333968,1.013143025,36.09500197,10.90538546
170310106003004,203115,41166,52118,56550,3.897214014,0.72795756,41.94928059,7.835673333
170310106003005,220096,57546,68866,82696,3.196003834,0.695874045,34.40151377,7.490329103
170310106003006,190929,58368,76122,76122,2.508197367,0.766769134,26.99802339,8.25343782
170310106003007,420298,123368,130503,130503,,,,
170310106003008,373568,111124,76254,54508,4.898995463,2.038673222,52.73237099,21.94410538
170310106003009,245247,73519,85500,72253,,,,
170310106003010,168499,29226,37722,32334,4.466862839,0.903878271,48.08093214,9.729268921
170310106003011,280042,42376,72609,72609,3.856849702,0.583619111,41.51480256,6.282026529
170310106003012,62683,18917,23119,23119,,,,
170310106004002,206413,63882,78172,36383,,,,
170310106004004,75266,35118,16059,19563,,,,
170310106004007,358166,82066,94777,92777,3.779039218,0.884551128,40.67725712,9.5212332
170310106004008,203327,37151,97044,97044,2.095204237,0.382826347,22.55260042,4.120710276
170310106004009,101213,30743,58263,58263,1.737174536,0.527659063,18.69879914,5.679677332
170310106004010,373409,104957,97151,63396,3.843593993,1.655577639,41.37211923,17.82049707
170310106004011,126178,47508,33690,33690,3.745265657,1.41015138,40.31372138,15.17874967
